cve_ent,nom_loc,tipo_pob,poblacion,homicidios,tasa
01,Aguascalientes,Total,1425607,93,6.523536991611293
01,Aguascalientes,Femenina,728924,7,0.9603195943610034
01,Aguascalientes,Masculina,696683,86,12.344208197989616
02,Baja California,Total,3769020,2967,78.72072846522438
02,Baja California,Femenina,1868431,298,15.949210861947806
02,Baja California,Masculina,1900589,2563,134.85293243305102
03,Baja California Sur,Total,798447,78,9.768964001367655
03,Baja California Sur,Femenina,392568,7,1.7831305659146952
03,Baja California Sur,Masculina,405879,71,17.492898129738172
04,Campeche,Total,928363,76,8.186452928434244
04,Campeche,Femenina,471424,7,1.4848628835188704
04,Campeche,Masculina,456939,69,15.10048387202668
05,Coahuila de Zaragoza,Total,3146771,242,7.690422976441565
05,Coahuila de Zaragoza,Femenina,1583102,33,2.0845150849408314
05,Coahuila de Zaragoza,Masculina,1563669,209,13.366000093370143
06,Colima,Total,731391,694,94.88768661358972
06,Colima,Femenina,370769,105,28.319519700945875
06,Colima,Masculina,360622,588,163.0516163739317
07,Chiapas,Total,5543828,536,9.668409625984067
07,Chiapas,Femenina,2837881,74,2.607579387578267
07,Chiapas,Masculina,2705947,461,17.036549496350077
08,Chihuahua,Total,3741869,3468,92.6809570297624
08,Chihuahua,Femenina,1888047,357,18.90842759740621
08,Chihuahua,Masculina,1853822,3107,167.59969403750736
09,Ciudad de México,Total,9209944,1340,14.549491288980693
09,Ciudad de México,Femenina,4805017,144,2.9968676489594106
09,Ciudad de México,Masculina,4404927,1196,27.151414768054046
10,Durango,Total,1832650,168,9.167053174364991
10,Durango,Femenina,927784,20,2.1556741655385303
10,Durango,Masculina,904866,147,16.245499333602986
11,Guanajuato,Total,6166934,5370,87.07730616218691
11,Guanajuato,Femenina,3170480,640,20.18621785975625
11,Guanajuato,Masculina,2996454,4524,150.9784565356251
12,Guerrero,Total,3540685,1507,42.562385527094335
12,Guerrero,Femenina,1840073,154,8.369233177161993
12,Guerrero,Masculina,1700612,1349,79.32438439808728
13,Hidalgo,Total,3082841,366,11.872165966392688
13,Hidalgo,Femenina,1601462,42,2.6226035959641876
13,Hidalgo,Masculina,1481379,324,21.87151296190914
14,Jalisco,Total,8348151,2241,26.844267670769252
14,Jalisco,Femenina,4249696,245,5.7651182578706806
14,Jalisco,Masculina,4098455,1989,48.530482828285294
15,México,Total,16992418,3089,18.17869593368054
15,México,Femenina,8741123,432,4.942156745763674
15,México,Masculina,8251295,2648,32.091932236091424
16,Michoacán de Ocampo,Total,4748846,2400,50.5385940078916
16,Michoacán de Ocampo,Femenina,2442505,248,10.15351043293668
16,Michoacán de Ocampo,Masculina,2306341,2149,93.17789520283428
17,Morelos,Total,1971520,988,50.11361791916897
17,Morelos,Femenina,1020673,81,7.9359403060529665
17,Morelos,Masculina,950847,905,95.17829892716703
18,Nayarit,Total,1235456,185,14.974228139245753
18,Nayarit,Femenina,623178,22,3.530291505797701
18,Nayarit,Masculina,612278,162,26.458569473343804
19,Nuevo León,Total,5784442,919,15.88744428589655
19,Nuevo León,Femenina,2893492,93,3.2141094566703483
19,Nuevo León,Masculina,2890950,822,28.43355990245421
20,Oaxaca,Total,4132148,875,21.175427404826742
20,Oaxaca,Femenina,2157305,110,5.098954482560417
20,Oaxaca,Masculina,1974843,765,38.737256581915624
21,Puebla,Total,6583278,1031,15.660891124451984
21,Puebla,Femenina,3423163,128,3.7392318157213085
21,Puebla,Masculina,3160115,902,28.54326503940521
22,Querétaro,Total,2368467,227,9.584258509829354
22,Querétaro,Femenina,1211647,25,2.063307217366114
22,Querétaro,Masculina,1156820,202,17.4616621427707
23,Quintana Roo,Total,1857985,628,33.8000575892701
23,Quintana Roo,Femenina,921206,68,7.381627996343923
23,Quintana Roo,Masculina,936779,560,59.77930760616965
24,San Luis Potosí,Total,2822255,803,28.45242545411382
24,San Luis Potosí,Femenina,1449804,62,4.276440125699749
24,San Luis Potosí,Masculina,1372451,729,53.11665043050717
25,Sinaloa,Total,3026943,866,28.609722746678745
25,Sinaloa,Femenina,1532128,40,2.610747927066146
25,Sinaloa,Masculina,1494815,814,54.454899101226566
26,Sonora,Total,2944840,1582,53.72108501650344
26,Sonora,Femenina,1472643,93,6.3151761832297435
26,Sonora,Masculina,1472197,1449,98.42432772244474
27,Tabasco,Total,2402598,585,24.348642594391574
27,Tabasco,Femenina,1228927,55,4.475448907868408
27,Tabasco,Masculina,1173671,530,45.15745894718367
28,Tamaulipas,Total,3527735,800,22.677440340615153
28,Tamaulipas,Femenina,1791595,75,4.186213960186314
28,Tamaulipas,Masculina,1736140,705,40.60732429412374
29,Tlaxcala,Total,1342977,154,11.467061610139265
29,Tlaxcala,Femenina,693083,27,3.895637319051253
29,Tlaxcala,Masculina,649894,125,19.233905836951873
30,Veracruz de Ignacio de la Llave,Total,8062579,1179,14.623112530122185
30,Veracruz de Ignacio de la Llave,Femenina,4190805,139,3.3167851999794786
30,Veracruz de Ignacio de la Llave,Masculina,3871774,1038,26.809416045461333
31,Yucatán,Total,2320898,72,3.10224749213451
31,Yucatán,Femenina,1180619,12,1.0164159648455597
31,Yucatán,Masculina,1140279,60,5.261870121259797
32,Zacatecas,Total,1622138,1244,76.6889130271284
32,Zacatecas,Femenina,831080,114,13.717091014102133
32,Zacatecas,Masculina,791058,1088,137.53732343266867
